,id,input_field,output_field,style
11,VAL-12,TuGraph Monitor的主要功能是什么？,TuGraph Monitor负责收集性能指标并将数据包装为Prometheus可以使用的格式。,（回答风格：概念解释型，简明描述功能和用途。）
12,VAL-13,TuGraph HA 集群的管理工具是什么？,管理工具为lgraph_peer。,（回答风格：明确直接，简短回答核心信息。）
13,VAL-14,如何通过POST方法修改Token的有效期为无限期？,通过设置refresh_time和expire_time参数均为0。,（回答风格：步骤型回答，简要说明操作步骤，不作多余解释。）
14,VAL-15,TuGraph图数据库是由哪两个机构联合研发的？,蚂蚁集团与清华大学联合研发的。,（回答风格：陈述型回答，直接提供信息来源，简单明了。）
15,VAL-16,TuGraph图学习模块依赖于什么系统？,它依赖于TuGraph的数据库管理系统。,（回答风格：明确回答，直接描述依赖关系，简洁明了。）
16,VAL-17,构造FieldSpec时需要哪些参数？,需要字段名称、字段类型和一个布尔值标识字段是否可选。,（回答风格：列举型回答，直接说明所需参数，条理清晰。）
17,VAL-18,TuGraph DB的并发性能优化最初面临的主要问题是什么？,Antlr4 C++ target的并发性能不足以支持所需的超高并发GQL请求。,（回答风格：陈述型，直接描述问题核心，专业且精简。）
18,VAL-19,C++客户端中实例化单节点client对象需要哪些参数？,"需要url（如""127.0.0.1:19099""）、user（如""admin""）和password（如""73@TuGraph""）。",（回答风格：列举型，提供具体参数及示例，信息准确无冗余。）
19,VAL-20,TuGraph-DB查询引擎目前支持使用哪种查询语言，并计划在未来支持哪种查询语言？,目前，TuGraph-DB支持使用Open Cypher作为查询语言，即将支持ISO GQL查询语言。,（回答风格：分层次回答，清晰描述现状和未来计划。）
20,VAL-21,DeleteProcedure 函数接受什么类型的参数，并命名它们？,"接受 std::string &result, const std::string &procedure_type, const std::string &procedure_name, const std::string &graph。",（回答风格：列举型回答，直接列出参数类型和名称，结构清晰。）
21,VAL-22,如果要在FrontierTraversal中并行执行遍历，事务的哪种模式必须被选用？,事务必须是只读的。,（回答风格：肯定回答，明确指出限制条件，没有额外解释。）
22,VAL-23,RpcSingleClient 构造函数需要哪些参数?,"url, user, password。",（回答风格：简洁列举，直接提供构造函数所需参数。）
23,VAL-24,TuGraph“中的expire_time默认设置是？,expire_time实体定义为强制过期时间戳，默认设置为24小时。,（回答风格：定义型回答，简要描述默认设置及其含义。）
24,VAL-25,TuGraph图学习模块中包括哪四种采样算子？,Neighbor Sampling、Edge Sampling、Random Walk Sampling 和 Negative Sampling。,（回答风格：列举型回答，直接列出模块中涉及的四种采样算子，简洁明了。）
25,VAL-26,当执行UpsertEdge操作时，根据提供的参数是否存在于现有边，返回值将是什么？,如果边已存在，则返回False；如果新建了边，则返回True。,（回答风格：条件陈述型，清晰解释返回值情况，结构合理。）
26,VAL-27,ANTLR4支持生成哪些目标语言的解析器？,ANTLR4支持生成Java、Python、C++、JavaScript、Go等10种目标语言的解析器。,（回答风格：列举型回答，直接列出目标语言，简洁有序。）
27,VAL-28,如果对DateTime对象添加超出其范围的微秒数会发生什么？,抛出OutOfRange异常。,（回答风格：极简回答，直接说明异常情况。）
28,VAL-29,VertexLockGuard是什么？,VertexLockGuard是一个机制，用于控制程序对点数据的访存权限。,（回答风格：定义型回答，简明解释概念和功能。）
29,VAL-30,value pack时的null array的具体含义是什么？,标记field是否为空,（回答风格：定义型，直接说明字段用途，语言简洁。）
30,VAL-31,"tugraph支持边属性匹配吗？，MATCH (n:chunk {id: '21604c19-0d30-11ef-b83b-0242ac110005'})-[r:kw {name:""生活补贴""}]-(m) RETURN n, r, m 类似这种cypher 为啥不能过滤边属性？",可以写where语句进行过滤,（回答风格：简洁直接，提出解决方案，无多余描述。）
31,VAL-32,TuGraph是如何通过语句定义点类型和边类型的？,点类型通过调用 `db.createVertexLabelByJson` 创建，边类型通过 `db.createEdgeLabelByJson` 创建。,（回答风格：步骤型，直接说明方法调用，无多余解释。）
32,VAL-33,想问一下，如果log_dir不设置，是不是就不会保存日志文件?,"是的，如果指定log_dir为""""，再以后台运行方式启动server，就不会生成log了。如开debug了确实会频繁刷日志。日志是滚动生成的，超过256M就会生成一个新的日志文件，之前的日志文件就可以删了，可以手动清理。",（回答风格：说明型，解释结果和细节，信息充实。）
33,VAL-34,当调用算法 `algo.shortestPath` 实际应用中的例子是什么？,"MATCH (n1 {name:'Hugo Weaving'}),(n2 {title:'The Matrix'}) CALL algo.shortestPath(n1,n2) YIELD nodeCount,totalCost RETURN nodeCount,totalCost",（回答风格：示例型，通过具体例子直接展示用法，实用性强。）
34,VAL-35,方法 GetLabel() 返回什么类型的结果？,The label.,（回答风格：极简回答，直接描述返回值类型，无多余解释。）
35,VAL-36,Rust 存储过程目前支持哪个版本？,目前仅支持v1版本。,（回答风格：明确直接，直接给出版本信息，简明扼要。）
36,VAL-37,TuGraph单元测试使用的是什么测试框架？,TuGraph单元测试采用gtest框架。,（回答风格：简洁回答，直接说明使用的框架，没有其他细节。）
37,VAL-38,创建 Label 的请求是否需要指定该 Label 是否为点（vertex）或边（relationship）？,是的，需要指定。,（回答风格：肯定型回答，直接回答是或否。）
38,VAL-39,TuGraph 中使用的两种主要图分析操作是什么？,简单图分析操作和复杂图分析操作。,（回答风格：分类型回答，直接说明两种主要操作类型，简洁明了。）
39,VAL-40,TuGraph-DB如何在代码中增加日志输出埋点？,"首先在需要添加埋点的代码文件中增加#include ""tools/lgraph_log.h""，之后使用LOG_DEBUG()、LOG_INFO()、LOG_WARN()、LOG_ERROR()、LOG_FATAL()等日志宏输出对应等级的，具体使用方法参考test/test_lgraph_log.cpp测试文件",（回答风格：操作型，按步骤解释操作方法，详细且清晰。）
40,VAL-41,在删除边的全文索引时，如果边标签或字段不存在会抛出什么异常？,InputError。,（回答风格：极简回答，直接说明异常类型，无其他解释。）
41,VAL-42,Grafana主要用于什么？,Grafana主要用于服务性能指标的监控和可视化。,（回答风格：定义型，简洁明了地描述主要功能。）
42,VAL-43,DeleteProcedure 函数是用来执行什么操作的？,执行用户定义的程序。,（回答风格：定义型回答，直接说明函数用途，简洁明了。）
43,VAL-44,描绘 PairUniqueIndex 的钥匙生成形式是什么？,"如果 src_vid < dst_vid, 关键是 (index field value + src_vid + dst_vid); 如果 src_vid > dst_vid, 关键是 (index field value + dst_vid + src_vid)。",（回答风格：条件型回答，根据条件进行清晰解释。）
44,VAL-45,在上述文本中，类FieldData用于表示哪些类型的数据？,FieldData用于表示布尔、整型、浮点数、双精度浮点数、字符串、日期、时间、点、线串、多边形、空间数据、浮点向量以及BLOB数据。,（回答风格：列举型回答，完整罗列数据类型。）
45,VAL-46,在线全量导入TuGraph时，如果发生数据包错误，默认行为是什么？,默认行为是在第一个错误包处停止导入。,（回答风格：明确陈述，直接描述默认行为，简洁直观。）
46,VAL-47,ORDER BY在GQL中有什么作用？,ORDER BY是GQL子句的一部分，用于对查询结果进行排序。,（回答风格：定义型回答，直接解释ORDER BY的作用，明了直观。）
47,VAL-48,TuGraph-DB是否有http的接口？对应的接口代码在哪里？,TuGraph-DB有2套http的接口，分别在src/restful/server/rest_server.cpp和src/http/http_server.cpp,（回答风格：简洁列举，提供接口数量和具体位置。）
48,VAL-49,请问lgraph_peer工具是只有编译方式部署后才有吗？,是的，后面我们会加入rpm中，目前编译部署后可以使用lgraph_peer,（回答风格：确认型回答，先给出肯定答案，再补充额外信息。）
49,VAL-50,当前图数据库应用程序使用的CPU比率是多少？,25%,（回答风格：简洁直接，提供具体数值。）
